assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
2953438,41479,Talpa caeca,4.4,Grassland - Temperate,,,Suitable
2953593,41483,Talpa occidentalis,3.4,Shrubland - Temperate,,,Suitable
2953593,41483,Talpa occidentalis,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
2953593,41483,Talpa occidentalis,1.4,Forest - Temperate,,,Suitable
2953593,41483,Talpa occidentalis,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
2953593,41483,Talpa occidentalis,4.4,Grassland - Temperate,,,Suitable
2953688,41484,Talpa romana,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
2953688,41484,Talpa romana,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
2953688,41484,Talpa romana,1.4,Forest - Temperate,,,Suitable
2953771,41485,Talpa stankovici,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
2953771,41485,Talpa stankovici,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
2953771,41485,Talpa stankovici,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,,,Suitable
3421872,13221,Mesocricetus newtoni,3.4,Shrubland - Temperate,,,Suitable
3421872,13221,Mesocricetus newtoni,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
3421872,13221,Mesocricetus newtoni,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
3421872,13221,Mesocricetus newtoni,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
3421872,13221,Mesocricetus newtoni,4.4,Grassland - Temperate,,,Suitable
3991347,13464,Microtus tatricus,1.4,Forest - Temperate,,,Suitable
3991347,13464,Microtus tatricus,4.4,Grassland - Temperate,,,Suitable
4296825,136473,Plecotus kolombatovici,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
4296825,136473,Plecotus kolombatovici,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
4296825,136473,Plecotus kolombatovici,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
4296825,136473,Plecotus kolombatovici,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
4296825,136473,Plecotus kolombatovici,4.4,Grassland - Temperate,,,Suitable
4296825,136473,Plecotus kolombatovici,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
4296825,136473,Plecotus kolombatovici,4.5,Grassland - Subtropical/Tropical Dry,,,Suitable
4332142,136721,Bos primigenius,5.3,Wetlands (inland) - Shrub Dominated Wetlands,Yes,,Suitable
4332142,136721,Bos primigenius,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,,Suitable
4332142,136721,Bos primigenius,1.4,Forest - Temperate,Yes,,Suitable
4332142,136721,Bos primigenius,4.4,Grassland - Temperate,,,Unknown
9290712,2150,Arvicola sapidus,5.15,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats",,,Marginal
9290712,2150,Arvicola sapidus,5.14,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes",,,Marginal
9290712,2150,Arvicola sapidus,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),,,Suitable
9290712,2150,Arvicola sapidus,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),,,Marginal
9290712,2150,Arvicola sapidus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",,,Suitable
9290712,2150,Arvicola sapidus,5.13,Wetlands (inland) - Permanent Inland Deltas,,,Marginal
9290712,2150,Arvicola sapidus,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,,,Marginal
9290712,2150,Arvicola sapidus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,,Suitable
10656554,42188,Dama dama,3.4,Shrubland - Temperate,Yes,,Suitable
10656554,42188,Dama dama,14.3,Artificial/Terrestrial - Plantations,,,Marginal
10656554,42188,Dama dama,14.2,Artificial/Terrestrial - Pastureland,,,Marginal
10656554,42188,Dama dama,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
10656554,42188,Dama dama,1.4,Forest - Temperate,,,Suitable
10656554,42188,Dama dama,4.4,Grassland - Temperate,,,Suitable
12835766,7618,Eliomys quercinus,14.3,Artificial/Terrestrial - Plantations,,,Marginal
12835766,7618,Eliomys quercinus,1.4,Forest - Temperate,,,Suitable
12835766,7618,Eliomys quercinus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
12835766,7618,Eliomys quercinus,14.4,Artificial/Terrestrial - Rural Gardens,,,Marginal
14871490,22823,Ursus maritimus,10.1,Marine Oceanic - Epipelagic (0-200m),Yes,resident,Suitable
14871490,22823,Ursus maritimus,3.1,Shrubland - Subarctic,No,non-breeding,Suitable
14871490,22823,Ursus maritimus,1.1,Forest - Boreal,No,breeding,Suitable
14871490,22823,Ursus maritimus,4.1,Grassland - Tundra,Yes,non-breeding,Suitable
14871490,22823,Ursus maritimus,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,No,non-breeding,Suitable
14871490,22823,Ursus maritimus,17,Other,Yes,resident,Suitable
14871490,22823,Ursus maritimus,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Yes,non-breeding,Suitable
14871490,22823,Ursus maritimus,12.4,Marine Intertidal - Mud Flats and Salt Flats,Yes,resident,Suitable
14871490,22823,Ursus maritimus,12.1,Marine Intertidal - Rocky Shoreline,Yes,resident,Suitable
14871490,22823,Ursus maritimus,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Yes,resident,Suitable
14871490,22823,Ursus maritimus,12.3,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Yes,resident,Suitable
21971185,19516,Rhinolophus euryale,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21971185,19516,Rhinolophus euryale,14.3,Artificial/Terrestrial - Plantations,,,Suitable
21971185,19516,Rhinolophus euryale,1.4,Forest - Temperate,,,Suitable
21971185,19516,Rhinolophus euryale,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21971185,19516,Rhinolophus euryale,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
21971185,19516,Rhinolophus euryale,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
21971185,19516,Rhinolophus euryale,3.4,Shrubland - Temperate,,,Suitable
21971185,19516,Rhinolophus euryale,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
21972073,19515,Rhinolophus blasii,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
21972073,19515,Rhinolophus blasii,2.2,Savanna - Moist,,,Suitable
21972073,19515,Rhinolophus blasii,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21972073,19515,Rhinolophus blasii,2.1,Savanna - Dry,,,Suitable
21972073,19515,Rhinolophus blasii,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21972073,19515,Rhinolophus blasii,8.2,Desert - Temperate,,,Suitable
21972073,19515,Rhinolophus blasii,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
21972794,19518,Rhinolophus hipposideros,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21972794,19518,Rhinolophus hipposideros,1.4,Forest - Temperate,,,Suitable
21972794,19518,Rhinolophus hipposideros,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
21972794,19518,Rhinolophus hipposideros,3.7,Shrubland - Subtropical/Tropical High Altitude,,,Suitable
21972794,19518,Rhinolophus hipposideros,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21972794,19518,Rhinolophus hipposideros,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
21972794,19518,Rhinolophus hipposideros,4.4,Grassland - Temperate,,,Suitable
21972794,19518,Rhinolophus hipposideros,3.4,Shrubland - Temperate,,,Suitable
21972794,19518,Rhinolophus hipposideros,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,14.5,Artificial/Terrestrial - Urban Areas,,,Marginal
21973253,19517,Rhinolophus ferrumequinum,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,4.4,Grassland - Temperate,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,1.4,Forest - Temperate,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
21973253,19517,Rhinolophus ferrumequinum,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21974380,19519,Rhinolophus mehelyi,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
21974380,19519,Rhinolophus mehelyi,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21974380,19519,Rhinolophus mehelyi,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
21974380,19519,Rhinolophus mehelyi,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21990234,136649,Pipistrellus pygmaeus,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,,,Suitable
21990234,136649,Pipistrellus pygmaeus,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
21990234,136649,Pipistrellus pygmaeus,1.4,Forest - Temperate,,,Suitable
21990234,136649,Pipistrellus pygmaeus,5,Wetlands (inland),,,Suitable
21993953,136553,Myotis aurascens,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
21993953,136553,Myotis aurascens,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
21993953,136553,Myotis aurascens,1.4,Forest - Temperate,,,Suitable
21993953,136553,Myotis aurascens,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
21993953,136553,Myotis aurascens,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
21993953,136553,Myotis aurascens,3.4,Shrubland - Temperate,,,Suitable
21993953,136553,Myotis aurascens,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22002229,136229,Plecotus macrobullaris,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22002229,136229,Plecotus macrobullaris,4.4,Grassland - Temperate,,,Suitable
22002229,136229,Plecotus macrobullaris,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
22002229,136229,Plecotus macrobullaris,1.4,Forest - Temperate,,,Suitable
22002229,136229,Plecotus macrobullaris,3.4,Shrubland - Temperate,,,Suitable
22002229,136229,Plecotus macrobullaris,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22002229,136229,Plecotus macrobullaris,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22015318,14918,Nyctalus lasiopterus,1.4,Forest - Temperate,,,Suitable
22015318,14918,Nyctalus lasiopterus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22015682,14920,Nyctalus noctula,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22015682,14920,Nyctalus noctula,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22015682,14920,Nyctalus noctula,1.4,Forest - Temperate,,,Suitable
22015682,14920,Nyctalus noctula,5,Wetlands (inland),,,Suitable
22015682,14920,Nyctalus noctula,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
22016159,14919,Nyctalus leisleri,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
22016159,14919,Nyctalus leisleri,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22016159,14919,Nyctalus leisleri,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
22016159,14919,Nyctalus leisleri,1.4,Forest - Temperate,,,Suitable
22016159,14919,Nyctalus leisleri,14.5,Artificial/Terrestrial - Urban Areas,,,Marginal
22029285,2553,Barbastella barbastellus,1.4,Forest - Temperate,,,Suitable
22029285,2553,Barbastella barbastellus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
22029285,2553,Barbastella barbastellus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22029285,2553,Barbastella barbastellus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22029285,2553,Barbastella barbastellus,3.4,Shrubland - Temperate,,,Suitable
22029285,2553,Barbastella barbastellus,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22035802,136741,Pipistrellus hesperidus,2.1,Savanna - Dry,,,Suitable
22035802,136741,Pipistrellus hesperidus,2.2,Savanna - Moist,,,Suitable
22035802,136741,Pipistrellus hesperidus,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
22035802,136741,Pipistrellus hesperidus,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
22043105,29730,Rousettus aegyptiacus,3.6,Shrubland - Subtropical/Tropical Moist,,,Suitable
22043105,29730,Rousettus aegyptiacus,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
22043105,29730,Rousettus aegyptiacus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22043105,29730,Rousettus aegyptiacus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
22043105,29730,Rousettus aegyptiacus,1.8,Forest - Subtropical/Tropical Swamp,,,Suitable
22043105,29730,Rousettus aegyptiacus,8.1,Desert - Hot,,,Suitable
22043105,29730,Rousettus aegyptiacus,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,,,Suitable
22043105,29730,Rousettus aegyptiacus,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
22043105,29730,Rousettus aegyptiacus,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
22043105,29730,Rousettus aegyptiacus,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22043105,29730,Rousettus aegyptiacus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22043105,29730,Rousettus aegyptiacus,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
22043105,29730,Rousettus aegyptiacus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
22043105,29730,Rousettus aegyptiacus,2.1,Savanna - Dry,,,Suitable
22043105,29730,Rousettus aegyptiacus,2.2,Savanna - Moist,,,Suitable
22043105,29730,Rousettus aegyptiacus,4.5,Grassland - Subtropical/Tropical Dry,,,Suitable
22051191,14129,Myotis emarginatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22051191,14129,Myotis emarginatus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
22051191,14129,Myotis emarginatus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22051191,14129,Myotis emarginatus,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22051191,14129,Myotis emarginatus,4.5,Grassland - Subtropical/Tropical Dry,,,Suitable
22051191,14129,Myotis emarginatus,3.4,Shrubland - Temperate,,,Suitable
22051191,14129,Myotis emarginatus,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22051759,14133,Myotis myotis,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22051759,14133,Myotis myotis,1.4,Forest - Temperate,,,Suitable
22051759,14133,Myotis myotis,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22051759,14133,Myotis myotis,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
22051759,14133,Myotis myotis,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22051759,14133,Myotis myotis,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
22051759,14133,Myotis myotis,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22052250,14134,Myotis mystacinus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
