"","binomial","Prey"
"202","Colaptes_chrysoides",0
"203","Colinus_virginianus",1
"204","Columbina_inca",1
"205","Columbina_passerina",1
"206","Contopus_cooperi",1
"207","Contopus_pertinax",0
"208","Contopus_sordidulus",0
"209","Contopus_virens",1
"210","Coragyps_atratus",1
"211","Corvus_brachyrhynchos",1
"212","Corvus_caurinus",0
"213","Corvus_corax",0
"214","Corvus_cryptoleucus",0
"215","Corvus_imparatus",0
"216","Corvus_ossifragus",1
"217","Coturnicops_noveboracensis",1
"218","Crotophaga_ani",0
"219","Crotophaga_sulcirostris",0
"220","Cyanecula_svecica",0
"221","Cyanocitta_cristata",1
"222","Cyanocitta_stelleri",1
"223","Cyanocorax_morio",0
"224","Cyanocorax_yncas",0
"225","Cygnus_buccinator",0
"226","Cygnus_columbianus",0
"227","Cygnus_cygnus",0
"228","Cynanthus_latirostris",0
"229","Cypseloides_niger",0
"230","Cyrtonyx_montezumae",0
"231","Dendragapus_fuliginosus",0
"232","Dendragapus_obscurus",0
"233","Dendrocygna_autumnalis",1
"234","Dendrocygna_bicolor",0
"235","Dolichonyx_oryzivorus",1
"236","Dryobates_nuttallii",1
"237","Dryobates_pubescens",1
"238","Dryobates_scalaris",0
"239","Dumetella_carolinensis",1
"240","Egretta_caerulea",0
"241","Egretta_garzetta",0
"242","Egretta_rufescens",0
"243","Egretta_thula",0
"244","Egretta_tricolor",0
"245","Elanoides_forficatus",0
"246","Elanus_leucurus",0
"247","Empidonax_alnorum",0
"248","Empidonax_difficilis",1
"249","Empidonax_flaviventris",1
"250","Empidonax_fulvifrons",0
"251","Empidonax_hammondii",0
"252","Empidonax_minimus",1
"253","Empidonax_oberholseri",0
"254","Empidonax_occidentalis",0
"255","Empidonax_traillii",0
"256","Empidonax_virescens",1
"257","Empidonax_wrightii",0
"258","Empidonomus_varius",0
"259","Eremophila_alpestris",1
"260","Eudocimus_albus",0
"261","Eudromias_morinellus",0
"262","Eugenes_fulgens",0
"263","Euphagus_carolinus",0
"264","Euphagus_cyanocephalus",1
"265","Euptilotis_neoxenus",0
"266","Falcipennis_canadensis",0
"267","Falcipennis_franklinii",0
"268","Falco_columbarius",1
"269","Falco_femoralis",0
"270","Falco_mexicanus",0
"271","Falco_peregrinus",0
"272","Falco_rusticolus",0
"273","Falco_sparverius",1
"274","Fratercula_arctica",0
"275","Fratercula_cirrhata",0
"276","Fratercula_corniculata",0
"277","Fregata_ariel",0
"278","Fregata_magnificens",0
"279","Fregata_minor",0
"280","Fulica_americana",1
"281","Fulmarus_glacialis",0
"282","Gallinago_delicata",1
"283","Gallinula_galeata",1
"284","Gavia_adamsii",0
"285","Gavia_immer",0
"286","Gavia_pacifica",0
"287","Gavia_stellata",0
"288","Gelochelidon_nilotica",0
"289","Geococcyx_californianus",1
"290","Geothlypis_formosa",1
"291","Geothlypis_philadelphia",0
"292","Geothlypis_tolmiei",0
"293","Geothlypis_trichas",1
"294","Geranoaetus_albicaudatus",0
"295","Glaucidium_brasilianum",1
"296","Glaucidium_californicum",0
"297","Glaucidium_gnoma",0
"298","Grus_americana",0
"299","Grus_canadensis",0
"300","Gymnogyps_californianus",0
"301","Gymnorhinus_cyanocephalus",0
"302","Haematopus_ater",0
"303","Haematopus_palliatus",1
"304","Haemorhous_cassinii",1
"305","Haemorhous_mexicanus",1
"306","Haemorhous_purpureus",1
"307","Haliaeetus_leucocephalus",0
"308","Helmitheros_vermivorum",1
"309","Hesperiphona_vespertina",0
"310","Himantopus_himantopus",0
"311","Hirundo_rustica",1
"312","Histrionicus_histrionicus",0
"313","Hydrobates_castro",0
"314","Hydrobates_furcatus",0
"315","Hydrobates_homochroa",0
"316","Hydrobates_leucorhous",0
"317","Hydrobates_melania",0
"318","Hydrobates_microsoma",0
"319","Hydrocoloeus_minutus",0
"320","Hydroprogne_caspia",0
"321","Hylatomus_pileatus",0
"322","Hylocichla_mustelina",1
"323","Icteria_virens",1
"324","Icterus_bullockiorum",0
"325","Icterus_cucullatus",1
"326","Icterus_galbula",1
"327","Icterus_graduacauda",0
"328","Icterus_gularis",0
"329","Icterus_parisorum",0
"330","Icterus_spurius",1
"331","Ictinia_mississippiensis",1
"332","Ixobrychus_exilis",0
"333","Ixoreus_naevius",1
"334","Junco_hyemalis",1
"335","Junco_phaeonotus",1
"336","Lagopus_lagopus",0
"337","Lagopus_leucura",0
"338","Lagopus_muta",0
"339","Lampornis_clemenciae",0
"340","Lanius_borealis",0
"341","Lanius_ludovicianus",1
"342","Larus_atricilla",0
"343","Larus_californicus",0
"344","Larus_canus",0
"345","Larus_delawarensis",0
"346","Larus_fuscus",0
"347","Larus_glaucescens",1
"348","Larus_glaucoides",0
"349","Larus_heermanni",0
"350","Larus_hyperboreus",0
"351","Larus_livens",0
"352","Larus_marinus",0
"353","Larus_occidentalis",0
"354","Larus_philadelphia",0
"355","Larus_pipixcan",0
"356","Larus_ridibundus",0
"357","Larus_schistisagus",0
"358","Larus_smithsonianus",0
"359","Laterallus_jamaicensis",1
"360","Leiothlypis_celata",0
"361","Leiothlypis_crissalis",0
"362","Leiothlypis_luciae",0
"363","Leiothlypis_peregrina",0
"364","Leiothlypis_ruficapilla",0
"365","Leiothlypis_virginiae",0
"366","Leptotila_verreauxi",1
"367","Leuconotopicus_albolarvatus",0
"368","Leuconotopicus_arizonae",0
"369","Leuconotopicus_borealis",0
"370","Leuconotopicus_villosus",1
"371","Leucosticte_atrata",0
"372","Leucosticte_australis",0
"373","Leucosticte_tephrocotis",0
"374","Limnodromus_griseus",0
"375","Limnodromus_scolopaceus",0
"376","Limnothlypis_swainsonii",0
"377","Limosa_fedoa",0
"378","Limosa_haemastica",0
"379","Limosa_lapponica",0
"380","Lophodytes_cucullatus",0
"381","Loxia_curvirostra",1
"382","Loxia_leucoptera",1
"383","Mareca_americana",0
"384","Mareca_penelope",0
"385","Mareca_strepera",0
"386","Megaceryle_alcyon",1
"387","Megaceryle_torquata",0
"388","Megascops_asio",1
"389","Megascops_kennicottii",1
"390","Megascops_trichopsis",0
"391","Melanerpes_aurifrons",1
"392","Melanerpes_carolinus",1
"393","Melanerpes_erythrocephalus",1
"394","Melanerpes_formicivorus",1
"395","Melanerpes_lewis",0
"396","Melanerpes_uropygialis",0
"397","Melanitta_americana",0
"398","Melanitta_deglandi",0
"399","Melanitta_perspicillata",0
"400","Melanospiza_bicolor",0
"401","Meleagris_gallopavo",1
"402","Melospiza_georgiana",1
"403","Melospiza_lincolnii",1
"404","Melospiza_melodia",1
"405","Melozone_aberti",0
"406","Melozone_crissalis",1
"407","Melozone_fusca",0
"408","Mergus_merganser",0
"409","Mergus_serrator",0
"410","Micrathene_whitneyi",0
"411","Mimus_polyglottos",1
"412","Mniotilta_varia",1
"413","Molothrus_aeneus",1
"414","Molothrus_ater",1
"415","Molothrus_bonariensis",0
"416","Morus_bassanus",0
"417","Motacilla_alba",0
"418","Motacilla_tschutschensis",0
"419","Myadestes_townsendi",0
"420","Mycteria_americana",0
"421","Myiarchus_cinerascens",0
"422","Myiarchus_crinitus",1
"423","Myiarchus_tuberculifer",0
"424","Myiarchus_tyrannulus",0
"425","Myioborus_pictus",0
"426","Myiodynastes_luteiventris",0
"427","Myiopagis_viridicata",0
"428","Nannopterum_auritus",0
"429","Nannopterum_brasilianus",0
"430","Neocrex_erythrops",0
"431","Nomonyx_dominicus",0
"432","Nucifraga_columbiana",0
"433","Numenius_americanus",1
"434","Numenius_phaeopus",0
"435","Numenius_tahitiensis",0
"436","Nyctanassa_violacea",1
"437","Nycticorax_nycticorax",1
"438","Nyctidromus_albicollis",0
